subject,action,feature,group,means_shift,std_shift
subject_4,3,SSC,1,0.0223533077338,0.598199057934
subject_4,3,WL,1,0.0388644660349,476.977820811
subject_4,3,MAV,2,-0.0861570320956,1.0440933029
subject_4,3,ZC,2,0.0176874937167,0.438605491862
subject_4,3,SSC,2,-0.0158292577897,0.169463528018
subject_4,3,WL,2,-0.0777416322685,219.477384208
subject_4,3,MAV,3,-0.109140503516,0.536314951162
subject_4,3,ZC,3,0.0131246560952,0.464335242073
subject_4,3,SSC,3,-0.0297484344969,0.993955589126
subject_4,3,WL,3,-0.110383040383,92.0661158869
subject_4,3,MAV,4,-0.109140503516,0.536314951162
subject_4,3,ZC,4,0.0131246560952,0.464335242073
subject_4,3,SSC,4,-0.0297484344969,0.993955589126
subject_4,3,WL,4,-0.110383040383,92.0661158869
subject_4,4,MAV,1,-0.191534812536,3.51082437033
subject_4,4,ZC,1,-0.0441111111111,0.386694324788
subject_4,4,SSC,1,0.00427668891292,0.763898774944
subject_4,4,WL,1,-0.236082269225,726.717362877
subject_4,4,MAV,2,0.32698908174,3.23971663231
subject_4,4,ZC,2,-0.0177338496638,0.458056978973
subject_4,4,SSC,2,0.0124755718257,0.390042169313
subject_4,4,WL,2,0.307493264787,720.148431359
subject_4,4,MAV,3,0.329727775018,2.46702632352
subject_4,4,ZC,3,-0.0563821898375,0.473908005265
subject_4,4,SSC,3,0.0309766568285,0.633134781907
subject_4,4,WL,3,0.253947544523,438.837906635
subject_4,4,MAV,4,0.329727775018,2.46702632352
subject_4,4,ZC,4,-0.0563821898375,0.473908005265
subject_4,4,SSC,4,0.0309766568285,0.633134781907
subject_4,4,WL,4,0.253947544523,438.837906635
subject_4,5,MAV,1,0.0565747114434,0.925888929077
subject_4,5,ZC,1,0.00715488215488,0.421799957069
subject_4,5,SSC,1,-0.000448107663376,0.297429807616
subject_4,5,WL,1,0.0744267849574,229.702195569
subject_4,5,MAV,2,-0.010618090944,0.403118889668
subject_4,5,ZC,2,-0.000609620926624,0.516217940989
subject_4,5,SSC,2,0.000157555327568,0.430313638863
subject_4,5,WL,2,-0.0126358771954,52.3698861104
subject_4,5,MAV,3,0.0660111896717,1.16632617383
subject_4,5,ZC,3,0.0296592406276,0.399556727482
subject_4,5,SSC,3,-0.000485049075554,0.335337013269
subject_4,5,WL,3,0.0876296723755,279.646809407
subject_4,5,MAV,4,0.0660111896717,1.16632617383
subject_4,5,ZC,4,0.0296592406276,0.399556727482
subject_4,5,SSC,4,-0.000485049075554,0.335337013269
